id,full_name,url,stars,forks,forked,commits,open_issue,closed_issue
162340939,onnx/sklearn-onnx,https://api.github.com/repos/onnx/sklearn-onnx,302,67,False,541,55,286
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5898,651,False,15109,92,1276
149458170,acconeer/acconeer-python-exploration,https://api.github.com/repos/acconeer/acconeer-python-exploration,108,43,False,2307,0,115
227367327,PINTO0309/PINTO_model_zoo,https://api.github.com/repos/PINTO0309/PINTO_model_zoo,1428,239,False,2445,7,251
67353330,esokolov/ml-course-hse,https://api.github.com/repos/esokolov/ml-course-hse,1835,791,False,826,14,83
37615400,kristinbranson/APT,https://api.github.com/repos/kristinbranson/APT,57,10,False,3474,152,249
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,141,217,False,3511,37,438
24528468,vaexio/vaex,https://api.github.com/repos/vaexio/vaex,6895,535,False,3607,381,767
22177757,maranemil/howto,https://api.github.com/repos/maranemil/howto,34,17,False,3786,0,0
154291734,bapoczos/ScalableML,https://api.github.com/repos/bapoczos/ScalableML,42,33,False,386,0,0
265612440,coqui-ai/TTS,https://api.github.com/repos/coqui-ai/TTS,3850,348,False,4214,19,488
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,24932,6644,False,1723,7,1353
23809180,NUbots/NUbots,https://api.github.com/repos/NUbots/NUbots,28,12,False,9412,62,59
261861733,keras-team/keras-io,https://api.github.com/repos/keras-team/keras-io,1355,1210,False,1214,322,131
125932201,OlafenwaMoses/ImageAI,https://api.github.com/repos/OlafenwaMoses/ImageAI,6815,1905,False,371,272,436
136265021,albumentations-team/albumentations,https://api.github.com/repos/albumentations-team/albumentations,9613,1233,False,773,330,413
114906951,cornell-zhang/heterocl,https://api.github.com/repos/cornell-zhang/heterocl,204,64,False,1112,83,132
50527925,Vaa3D/vaa3d_tools,https://api.github.com/repos/Vaa3D/vaa3d_tools,66,62,False,7952,8,1
112975045,TheCacophonyProject/classifier-pipeline,https://api.github.com/repos/TheCacophonyProject/classifier-pipeline,16,14,False,1429,16,11
241095326,adap/flower,https://api.github.com/repos/adap/flower,729,185,False,1060,146,171
130718031,ROCmSoftwarePlatform/AMDMIGraphX,https://api.github.com/repos/ROCmSoftwarePlatform/AMDMIGraphX,69,29,False,4545,101,457
234634164,aws/deep-learning-containers,https://api.github.com/repos/aws/deep-learning-containers,352,219,False,1882,101,63
253846879,determined-ai/determined,https://api.github.com/repos/determined-ai/determined,1620,201,False,5113,23,233
86031674,wandb/client,https://api.github.com/repos/wandb/client,3688,291,False,0,0,0
13509108,mozilla/gecko-dev,https://api.github.com/repos/mozilla/gecko-dev,2353,1684,False,832572,0,0
295559343,google-research/federated,https://api.github.com/repos/google-research/federated,278,98,False,565,7,38
120360765,chromium/chromium,https://api.github.com/repos/chromium/chromium,11432,4417,False,1233617,0,0
126528713,tensorflow/model-analysis,https://api.github.com/repos/tensorflow/model-analysis,1138,243,False,1293,19,51
33015583,keras-team/keras,https://api.github.com/repos/keras-team/keras,53882,18986,False,7804,279,11373
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57707,13641,False,12204,411,10565
205706595,mlrun/mlrun,https://api.github.com/repos/mlrun/mlrun,560,117,False,2905,57,159
64699999,LSSTC-DSFP/LSSTC-DSFP-Sessions,https://api.github.com/repos/LSSTC-DSFP/LSSTC-DSFP-Sessions,233,200,False,1489,3,1
96946693,tensorflow/tpu,https://api.github.com/repos/tensorflow/tpu,4633,1659,False,1261,253,204
85989537,idaholab/raven,https://api.github.com/repos/idaholab/raven,149,85,False,10957,196,836
45717250,tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow,162647,86282,False,144113,2043,34723
71305435,VertaAI/modeldb,https://api.github.com/repos/VertaAI/modeldb,1383,250,False,3701,81,52
358017583,NVIDIA-Merlin/Transformers4Rec,https://api.github.com/repos/NVIDIA-Merlin/Transformers4Rec,439,37,False,899,75,255
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6197,1426,False,8232,1315,2937
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7664,2376,False,10231,431,2432
162747292,tensorflow/privacy,https://api.github.com/repos/tensorflow/privacy,1543,347,False,772,73,87
346124279,pinecone-io/examples,https://api.github.com/repos/pinecone-io/examples,29,15,False,458,4,2
76095264,autorope/donkeycar,https://api.github.com/repos/autorope/donkeycar,2210,1139,False,2174,81,326
371198718,GoogleCloudPlatform/vertex-ai-samples,https://api.github.com/repos/GoogleCloudPlatform/vertex-ai-samples,168,117,False,1655,17,101
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,21813,7706,False,2600,233,7415
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3409,1264,False,8089,480,1060
320591199,neuralmagic/sparseml,https://api.github.com/repos/neuralmagic/sparseml,802,58,False,1299,12,131
6472554,invesalius/invesalius3,https://api.github.com/repos/invesalius/invesalius3,387,164,False,2915,77,160
42408083,dask/distributed,https://api.github.com/repos/dask/distributed,1295,586,False,5187,1076,2101
394772335,tensorflow/gnn,https://api.github.com/repos/tensorflow/gnn,558,44,False,493,21,30
169116405,tensorflow/tfx,https://api.github.com/repos/tensorflow/tfx,1691,539,False,4970,132,690
267223745,oneapi-src/oneAPI-samples,https://api.github.com/repos/oneapi-src/oneAPI-samples,259,283,False,1030,31,58
27452807,broadinstitute/gatk,https://api.github.com/repos/broadinstitute/gatk,1166,471,False,4547,1107,3271
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2676,1149,False,4813,639,2560
346639494,openvinotoolkit/openvino_notebooks,https://api.github.com/repos/openvinotoolkit/openvino_notebooks,525,109,False,511,16,119
244029618,data-science-on-aws/oreilly_book,https://api.github.com/repos/data-science-on-aws/oreilly_book,2468,786,False,0,0,0
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5793,4622,False,7436,106,69
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17588,1583,False,5300,591,2483
257648141,Adapter-Hub/adapter-transformers,https://api.github.com/repos/Adapter-Hub/adapter-transformers,655,106,False,12569,53,224
263687600,openvinotoolkit/nncf,https://api.github.com/repos/openvinotoolkit/nncf,395,99,False,1230,23,212
124910572,mozilla/bugbug,https://api.github.com/repos/mozilla/bugbug,379,233,False,4959,248,616
83074537,freesurfer/freesurfer,https://api.github.com/repos/freesurfer/freesurfer,290,161,False,31295,17,142
364747400,oracle/oci-data-science-ai-samples,https://api.github.com/repos/oracle/oci-data-science-ai-samples,41,19,False,0,0,0
239971181,HenriquesLab/ZeroCostDL4Mic,https://api.github.com/repos/HenriquesLab/ZeroCostDL4Mic,304,64,False,719,33,125
145453331,JohnSnowLabs/spark-nlp-workshop,https://api.github.com/repos/JohnSnowLabs/spark-nlp-workshop,643,377,False,3315,1,72
203558879,fetchai/agents-aea,https://api.github.com/repos/fetchai/agents-aea,110,34,False,11311,53,786
288377272,HabanaAI/Model-References,https://api.github.com/repos/HabanaAI/Model-References,34,17,False,16,4,17
187248482,OSGeo/grass-addons,https://api.github.com/repos/OSGeo/grass-addons,59,97,False,8337,47,109
191442873,spoonsso/dannce,https://api.github.com/repos/spoonsso/dannce,102,18,False,421,15,92
91379993,tensorflow/tensorboard,https://api.github.com/repos/tensorflow/tensorboard,5762,1472,False,5371,567,1172
67670269,YerevaNN/mimic3-benchmarks,https://api.github.com/repos/YerevaNN/mimic3-benchmarks,545,257,False,254,36,76
135559956,sentinel-hub/eo-learn,https://api.github.com/repos/sentinel-hub/eo-learn,843,257,False,2205,10,139
214003948,PennyLaneAI/qml,https://api.github.com/repos/PennyLaneAI/qml,280,84,False,714,20,70
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15942,1670,False,5830,542,3200
140302908,supervisely/supervisely,https://api.github.com/repos/supervisely/supervisely,371,64,False,679,33,22
91730359,GoogleCloudPlatform/professional-services,https://api.github.com/repos/GoogleCloudPlatform/professional-services,1982,965,False,1820,22,124
9626741,Nuitka/Nuitka,https://api.github.com/repos/Nuitka/Nuitka,6374,359,False,10583,235,1508
119419202,wandb/examples,https://api.github.com/repos/wandb/examples,623,186,False,811,0,76
135768037,NVIDIA/DALI,https://api.github.com/repos/NVIDIA/DALI,3692,477,False,3015,219,1126
15226547,OpenDrift/opendrift,https://api.github.com/repos/OpenDrift/opendrift,135,79,False,3853,58,260
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21768,5128,False,3867,680,272
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11218,2485,False,3780,885,1872
219892487,aws/aws-neuron-sdk,https://api.github.com/repos/aws/aws-neuron-sdk,225,75,False,0,0,0
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3833,964,False,19489,531,1136
125098252,onnx/tensorflow-onnx,https://api.github.com/repos/onnx/tensorflow-onnx,1336,308,False,2739,97,800
217121692,mlrun/functions,https://api.github.com/repos/mlrun/functions,20,34,False,1572,5,4
46374199,IntelRealSense/librealsense,https://api.github.com/repos/IntelRealSense/librealsense,5728,4085,False,14382,293,8004
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2900,630,False,7235,53,2054
30907774,spmallick/learnopencv,https://api.github.com/repos/spmallick/learnopencv,15627,9850,False,2143,197,86
75482295,riga/law,https://api.github.com/repos/riga/law,46,18,False,1735,9,69
281528773,intel/neural-compressor,https://api.github.com/repos/intel/neural-compressor,288,55,False,2477,10,82
219743783,amesar/mlflow-examples,https://api.github.com/repos/amesar/mlflow-examples,83,40,False,515,5,1
44996115,fasrc/User_Codes,https://api.github.com/repos/fasrc/User_Codes,34,12,False,723,2,0
6942323,bgruening/galaxytools,https://api.github.com/repos/bgruening/galaxytools,95,174,False,6290,99,103
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2766,770,False,11174,90,669
168622088,IDAES/idaes-pse,https://api.github.com/repos/IDAES/idaes-pse,87,127,False,9140,60,315
64230020,hcmlab/nova,https://api.github.com/repos/hcmlab/nova,131,28,False,1561,16,46
101685392,amygdala/code-snippets,https://api.github.com/repos/amygdala/code-snippets,145,80,False,113,1,0
249942759,GCGImdea/coronasurveys,https://api.github.com/repos/GCGImdea/coronasurveys,19,12,False,15581,1,0
208380024,rwepa/DataDemo,https://api.github.com/repos/rwepa/DataDemo,13,17,False,581,4,0
135673451,microsoft/nni,https://api.github.com/repos/microsoft/nni,10937,1551,False,2905,257,1583
272452525,huggingface/notebooks,https://api.github.com/repos/huggingface/notebooks,668,370,False,535,73,30
394994747,jina-ai/finetuner,https://api.github.com/repos/jina-ai/finetuner,412,23,False,647,11,199
210452618,Adlik/Adlik,https://api.github.com/repos/Adlik/Adlik,491,49,False,403,23,156
123870583,tensorflow/tfjs-examples,https://api.github.com/repos/tensorflow/tfjs-examples,5547,1946,False,740,0,0
306216410,vanderschaarlab/mlforhealthlabpub,https://api.github.com/repos/vanderschaarlab/mlforhealthlabpub,152,73,False,60,5,2
235856774,tensorflow/docs-l10n,https://api.github.com/repos/tensorflow/docs-l10n,429,508,False,15888,0,0
252069995,microsoft/nnfusion,https://api.github.com/repos/microsoft/nnfusion,614,89,False,232,94,101
5844399,dpinney/omf,https://api.github.com/repos/dpinney/omf,90,58,False,7505,0,357
257688216,quic/aimet,https://api.github.com/repos/quic/aimet,838,158,False,1239,94,782
199919576,DayuanTan/AITensorFlowSpecialization,https://api.github.com/repos/DayuanTan/AITensorFlowSpecialization,51,45,False,0,0,0
191126383,allegroai/clearml,https://api.github.com/repos/allegroai/clearml,2973,412,False,2009,354,387
372489086,prathimacode-hub/ML-ProjectKart,https://api.github.com/repos/prathimacode-hub/ML-ProjectKart,130,145,False,2653,42,277
173577725,Arshad221b/Sign-Language-Recognition,https://api.github.com/repos/Arshad221b/Sign-Language-Recognition,32,27,False,43,0,2
82187706,karlstroetmann/Artificial-Intelligence,https://api.github.com/repos/karlstroetmann/Artificial-Intelligence,21,27,False,815,0,6
305901775,TL-System/plato,https://api.github.com/repos/TL-System/plato,133,34,False,1159,1,59
190658443,keras-team/keras-tuner,https://api.github.com/repos/keras-team/keras-tuner,2462,318,False,996,185,251
76386735,UWDIRECT/UWDIRECT.github.io,https://api.github.com/repos/UWDIRECT/UWDIRECT.github.io,12,29,False,1186,3,3
70790978,antoinecarme/pyaf,https://api.github.com/repos/antoinecarme/pyaf,353,57,False,1784,19,161
36804486,tqdm/tqdm,https://api.github.com/repos/tqdm/tqdm,21075,1073,False,1928,328,561
256170081,Samsung/ONE,https://api.github.com/repos/Samsung/ONE,228,94,False,7488,343,1567
6604719,InsightSoftwareConsortium/ITKTubeTK,https://api.github.com/repos/InsightSoftwareConsortium/ITKTubeTK,24,52,False,6608,3,4
155619942,tensorflow/model-optimization,https://api.github.com/repos/tensorflow/model-optimization,1193,268,False,790,154,157
441354843,alibaba/DeepRec,https://api.github.com/repos/alibaba/DeepRec,116,46,False,65360,37,33
248735205,juanluisrto/stock-prediction-nlp,https://api.github.com/repos/juanluisrto/stock-prediction-nlp,16,10,False,24,0,0
107595270,matterport/Mask_RCNN,https://api.github.com/repos/matterport/Mask_RCNN,21212,10486,False,203,1814,831
124191804,yao-lab/yao-lab.github.io,https://api.github.com/repos/yao-lab/yao-lab.github.io,13,31,False,1385,0,0
187097782,HuichuanLI/Recommand-Algorithme,https://api.github.com/repos/HuichuanLI/Recommand-Algorithme,32,12,False,73,0,0
175487258,the-deep-learners/deep-learning-illustrated,https://api.github.com/repos/the-deep-learners/deep-learning-illustrated,470,245,False,187,1,4
159568339,dreadl0ck/netcap,https://api.github.com/repos/dreadl0ck/netcap,1529,137,False,1637,2,15
112676803,apple/turicreate,https://api.github.com/repos/apple/turicreate,10571,1120,False,1571,493,1293
104001805,HealthRex/CDSS,https://api.github.com/repos/HealthRex/CDSS,64,27,False,2249,84,263
141200054,tensorflow/examples,https://api.github.com/repos/tensorflow/examples,5791,5986,False,2115,0,0
161556784,tensorflow/federated,https://api.github.com/repos/tensorflow/federated,1750,425,False,4596,62,288
146165888,ultralytics/yolov3,https://api.github.com/repos/ultralytics/yolov3,8289,3068,False,2672,11,1770
256451119,oap-project/raydp,https://api.github.com/repos/oap-project/raydp,148,33,False,185,47,63
204388414,bojone/bert4keras,https://api.github.com/repos/bojone/bert4keras,4091,794,False,1912,158,317
149430917,microsoft/recommenders,https://api.github.com/repos/microsoft/recommenders,12149,2105,False,8228,147,599
