id,full_name,url,stars,forks,forked,commits,open_issue,closed_issue,collaborators
130718031,ROCmSoftwarePlatform/AMDMIGraphX,https://api.github.com/repos/ROCmSoftwarePlatform/AMDMIGraphX,69,29,False,4545,101,457,29
379554918,iqiyi/xgboost-serving,https://api.github.com/repos/iqiyi/xgboost-serving,104,13,False,4533,1,0,130
5502765,Sefaria/Sefaria-Data,https://api.github.com/repos/Sefaria/Sefaria-Data,64,55,False,4494,3,2,27
290981320,microsoft/fastformers,https://api.github.com/repos/microsoft/fastformers,618,36,False,4324,0,18,394
265612440,coqui-ai/TTS,https://api.github.com/repos/coqui-ai/TTS,3850,348,False,4214,19,488,103
40307735,flatironinstitute/CaImAn,https://api.github.com/repos/flatironinstitute/CaImAn,442,294,False,3991,41,540,50
178290396,fastestimator/fastestimator,https://api.github.com/repos/fastestimator/fastestimator,40,25,False,3983,0,11,16
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21768,5128,False,3867,680,272,391
15226547,OpenDrift/opendrift,https://api.github.com/repos/OpenDrift/opendrift,135,79,False,3853,58,260,19
22177757,maranemil/howto,https://api.github.com/repos/maranemil/howto,34,17,False,3786,0,0,2
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11218,2485,False,3780,885,1872,457
71305435,VertaAI/modeldb,https://api.github.com/repos/VertaAI/modeldb,1383,250,False,3701,81,52,48
101409977,STEllAR-GROUP/phylanx,https://api.github.com/repos/STEllAR-GROUP/phylanx,71,38,False,3661,120,367,25
24528468,vaexio/vaex,https://api.github.com/repos/vaexio/vaex,6895,535,False,3607,381,767,64
81887991,microsoft/AirSim,https://api.github.com/repos/microsoft/AirSim,12670,3587,False,3560,574,2705,203
44731840,lablup/backend.ai-kernels,https://api.github.com/repos/lablup/backend.ai-kernels,25,12,False,3557,20,85,12
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,141,217,False,3511,37,438,144
37615400,kristinbranson/APT,https://api.github.com/repos/kristinbranson/APT,57,10,False,3474,152,249,10
90328920,intel-analytics/analytics-zoo,https://api.github.com/repos/intel-analytics/analytics-zoo,2466,712,False,3442,407,854,99
