id,full_name,url,stars,forks,forked
67353330,esokolov/ml-course-hse,https://api.github.com/repos/esokolov/ml-course-hse,1835,791,FALSE
37615400,kristinbranson/APT,https://api.github.com/repos/kristinbranson/APT,57,10,FALSE
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,141,217,FALSE
24528468,vaexio/vaex,https://api.github.com/repos/vaexio/vaex,6895,535,FALSE
22177757,maranemil/howto,https://api.github.com/repos/maranemil/howto,34,17,FALSE
154291734,bapoczos/ScalableML,https://api.github.com/repos/bapoczos/ScalableML,42,33,FALSE
265612440,coqui-ai/TTS,https://api.github.com/repos/coqui-ai/TTS,3850,348,FALSE
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,24932,6644,FALSE
23809180,NUbots/NUbots,https://api.github.com/repos/NUbots/NUbots,28,12,FALSE
261861733,keras-team/keras-io,https://api.github.com/repos/keras-team/keras-io,1355,1210,FALSE
125932201,OlafenwaMoses/ImageAI,https://api.github.com/repos/OlafenwaMoses/ImageAI,6815,1905,FALSE
136265021,albumentations-team/albumentations,https://api.github.com/repos/albumentations-team/albumentations,9613,1233,FALSE
114906951,cornell-zhang/heterocl,https://api.github.com/repos/cornell-zhang/heterocl,204,64,FALSE
50527925,Vaa3D/vaa3d_tools,https://api.github.com/repos/Vaa3D/vaa3d_tools,66,62,FALSE
112975045,TheCacophonyProject/classifier-pipeline,https://api.github.com/repos/TheCacophonyProject/classifier-pipeline,16,14,FALSE
241095326,adap/flower,https://api.github.com/repos/adap/flower,729,185,FALSE
130718031,ROCmSoftwarePlatform/AMDMIGraphX,https://api.github.com/repos/ROCmSoftwarePlatform/AMDMIGraphX,69,29,FALSE
234634164,aws/deep-learning-containers,https://api.github.com/repos/aws/deep-learning-containers,352,219,FALSE
253846879,determined-ai/determined,https://api.github.com/repos/determined-ai/determined,1620,201,FALSE
86031674,wandb/client,https://api.github.com/repos/wandb/client,3688,291,FALSE
13509108,mozilla/gecko-dev,https://api.github.com/repos/mozilla/gecko-dev,2353,1684,FALSE
295559343,google-research/federated,https://api.github.com/repos/google-research/federated,278,98,FALSE
120360765,chromium/chromium,https://api.github.com/repos/chromium/chromium,11432,4417,FALSE
126528713,tensorflow/model-analysis,https://api.github.com/repos/tensorflow/model-analysis,1138,243,FALSE
33015583,keras-team/keras,https://api.github.com/repos/keras-team/keras,53882,18986,FALSE
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57707,13641,FALSE
205706595,mlrun/mlrun,https://api.github.com/repos/mlrun/mlrun,560,117,FALSE
64699999,LSSTC-DSFP/LSSTC-DSFP-Sessions,https://api.github.com/repos/LSSTC-DSFP/LSSTC-DSFP-Sessions,233,200,FALSE
96946693,tensorflow/tpu,https://api.github.com/repos/tensorflow/tpu,4633,1659,FALSE
85989537,idaholab/raven,https://api.github.com/repos/idaholab/raven,149,85,FALSE
45717250,tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow,162647,86282,FALSE
71305435,VertaAI/modeldb,https://api.github.com/repos/VertaAI/modeldb,1383,250,FALSE
358017583,NVIDIA-Merlin/Transformers4Rec,https://api.github.com/repos/NVIDIA-Merlin/Transformers4Rec,439,37,FALSE
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6197,1426,FALSE
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7664,2376,FALSE
162747292,tensorflow/privacy,https://api.github.com/repos/tensorflow/privacy,1543,347,FALSE
346124279,pinecone-io/examples,https://api.github.com/repos/pinecone-io/examples,29,15,FALSE
76095264,autorope/donkeycar,https://api.github.com/repos/autorope/donkeycar,2210,1139,FALSE
371198718,GoogleCloudPlatform/vertex-ai-samples,https://api.github.com/repos/GoogleCloudPlatform/vertex-ai-samples,168,117,FALSE
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,21813,7706,FALSE
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3409,1264,FALSE
320591199,neuralmagic/sparseml,https://api.github.com/repos/neuralmagic/sparseml,802,58,FALSE
6472554,invesalius/invesalius3,https://api.github.com/repos/invesalius/invesalius3,387,164,FALSE
42408083,dask/distributed,https://api.github.com/repos/dask/distributed,1295,586,FALSE
394772335,tensorflow/gnn,https://api.github.com/repos/tensorflow/gnn,558,44,FALSE
169116405,tensorflow/tfx,https://api.github.com/repos/tensorflow/tfx,1691,539,FALSE
267223745,oneapi-src/oneAPI-samples,https://api.github.com/repos/oneapi-src/oneAPI-samples,259,283,FALSE
27452807,broadinstitute/gatk,https://api.github.com/repos/broadinstitute/gatk,1166,471,FALSE
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2676,1149,FALSE
346639494,openvinotoolkit/openvino_notebooks,https://api.github.com/repos/openvinotoolkit/openvino_notebooks,525,109,FALSE
244029618,data-science-on-aws/oreilly_book,https://api.github.com/repos/data-science-on-aws/oreilly_book,2468,786,FALSE
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5793,4622,FALSE
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17588,1583,FALSE
257648141,Adapter-Hub/adapter-transformers,https://api.github.com/repos/Adapter-Hub/adapter-transformers,655,106,FALSE
263687600,openvinotoolkit/nncf,https://api.github.com/repos/openvinotoolkit/nncf,395,99,FALSE
124910572,mozilla/bugbug,https://api.github.com/repos/mozilla/bugbug,379,233,FALSE
83074537,freesurfer/freesurfer,https://api.github.com/repos/freesurfer/freesurfer,290,161,FALSE
364747400,oracle/oci-data-science-ai-samples,https://api.github.com/repos/oracle/oci-data-science-ai-samples,41,19,FALSE
239971181,HenriquesLab/ZeroCostDL4Mic,https://api.github.com/repos/HenriquesLab/ZeroCostDL4Mic,304,64,FALSE
145453331,JohnSnowLabs/spark-nlp-workshop,https://api.github.com/repos/JohnSnowLabs/spark-nlp-workshop,643,377,FALSE
203558879,fetchai/agents-aea,https://api.github.com/repos/fetchai/agents-aea,110,34,FALSE
288377272,HabanaAI/Model-References,https://api.github.com/repos/HabanaAI/Model-References,34,17,FALSE
187248482,OSGeo/grass-addons,https://api.github.com/repos/OSGeo/grass-addons,59,97,FALSE
