id,full_name,url,stars,forks,forked,commits,open_issue,closed_issue,collaborators
135882314,6-Billionaires/trading-agent,https://api.github.com/repos/6-Billionaires/trading-agent,36,18,FALSE,125,0,0,8
190982189,nilmtk/nilmtk-contrib,https://api.github.com/repos/nilmtk/nilmtk-contrib,65,39,FALSE,119,28,29,8
118638675,JdeRobot/ObjectDetector,https://api.github.com/repos/JdeRobot/ObjectDetector,14,14,FALSE,110,5,21,8
223491631,aws-samples/aws-deepcomposer-samples,https://api.github.com/repos/aws-samples/aws-deepcomposer-samples,323,251,FALSE,108,7,2,8
159568339,dreadl0ck/netcap,https://api.github.com/repos/dreadl0ck/netcap,1529,137,FALSE,1637,2,15,7
112975045,TheCacophonyProject/classifier-pipeline,https://api.github.com/repos/TheCacophonyProject/classifier-pipeline,16,14,FALSE,1429,16,11,7
144964647,nginyc/rafiki,https://api.github.com/repos/nginyc/rafiki,29,23,FALSE,1065,38,66,7
292161065,AprendizajeProfundo/Diplomado,https://api.github.com/repos/AprendizajeProfundo/Diplomado,61,187,FALSE,1049,0,1,7
257801423,cap-ntu/ML-Model-CI,https://api.github.com/repos/cap-ntu/ML-Model-CI,156,27,FALSE,843,26,91,7
129931530,IntelAI/unet,https://api.github.com/repos/IntelAI/unet,205,96,FALSE,794,3,22,7
124822342,huseinzol05/malaya,https://api.github.com/repos/huseinzol05/malaya,296,102,FALSE,721,2,106,7
306702552,sisinflab/elliot,https://api.github.com/repos/sisinflab/elliot,159,28,FALSE,624,10,8,7
131621053,TrustAI/DeepConcolic,https://api.github.com/repos/TrustAI/DeepConcolic,97,39,FALSE,618,4,9,7
225423507,samsinai/FLEXS,https://api.github.com/repos/samsinai/FLEXS,82,10,FALSE,505,1,6,7
295811273,cognizant-ai-labs/covid-xprize,https://api.github.com/repos/cognizant-ai-labs/covid-xprize,36,68,FALSE,470,0,82,7
151165530,microsoft/SparseSC,https://api.github.com/repos/microsoft/SparseSC,38,18,FALSE,438,16,17,7
191442873,spoonsso/dannce,https://api.github.com/repos/spoonsso/dannce,102,18,FALSE,421,15,92,7
110393657,cloudxlab/ml,https://api.github.com/repos/cloudxlab/ml,215,366,FALSE,409,3,0,7
163487352,lsds/KungFu,https://api.github.com/repos/lsds/KungFu,254,45,FALSE,383,3,41,7
77059425,theislab/dca,https://api.github.com/repos/theislab/dca,191,60,FALSE,380,23,28,7
79966460,chicago-justice-project/article-tagging,https://api.github.com/repos/chicago-justice-project/article-tagging,41,23,FALSE,347,12,37,7
241174650,HelmchenLabSoftware/Cascade,https://api.github.com/repos/HelmchenLabSoftware/Cascade,49,14,FALSE,337,5,23,7
89311508,ucloud/uai-sdk,https://api.github.com/repos/ucloud/uai-sdk,33,27,FALSE,334,0,3,7
153459506,marl/openl3,https://api.github.com/repos/marl/openl3,266,42,FALSE,333,23,40,7
225545436,datawhalechina/competition-baseline,https://api.github.com/repos/datawhalechina/competition-baseline,2605,795,FALSE,315,0,18,7
57920937,KordingLab/spykes,https://api.github.com/repos/KordingLab/spykes,88,33,FALSE,299,10,47,7
136420067,xulabs/projects,https://api.github.com/repos/xulabs/projects,33,11,FALSE,275,3,2,7
198694912,MrGiovanni/ModelsGenesis,https://api.github.com/repos/MrGiovanni/ModelsGenesis,521,123,FALSE,264,24,30,7
124870610,fizyr/keras-maskrcnn,https://api.github.com/repos/fizyr/keras-maskrcnn,397,131,FALSE,196,24,68,7
282013769,phuselab/pyVHR,https://api.github.com/repos/phuselab/pyVHR,143,50,FALSE,182,4,54,7
188627468,ARBML/ARBML,https://api.github.com/repos/ARBML/ARBML,211,29,FALSE,154,9,13,7
69671772,tomography/xlearn,https://api.github.com/repos/tomography/xlearn,34,34,FALSE,148,1,8,7
83661355,NLeSC/mcfly-tutorial,https://api.github.com/repos/NLeSC/mcfly-tutorial,64,36,FALSE,141,8,34,7
130369068,KDD-OpenSource/DeepADoTS,https://api.github.com/repos/KDD-OpenSource/DeepADoTS,418,93,FALSE,135,10,70,7
226030962,PacktWorkshops/The-Deep-Learning-with-Keras-Workshop,https://api.github.com/repos/PacktWorkshops/The-Deep-Learning-with-Keras-Workshop,36,79,FALSE,133,0,0,7
279468507,PurdueDualityLab/TensorFlowModels,https://api.github.com/repos/PurdueDualityLab/TensorFlowModels,29,12,FALSE,2903,2,2,6
64230020,hcmlab/nova,https://api.github.com/repos/hcmlab/nova,131,28,FALSE,1561,16,46,6
103808346,tykimos/tykimos.github.io,https://api.github.com/repos/tykimos/tykimos.github.io,17,17,FALSE,1133,0,0,6
159555286,CalculatedContent/WeightWatcher,https://api.github.com/repos/CalculatedContent/WeightWatcher,579,67,FALSE,933,40,103,6
227199576,pmusau17/Platooning-F1Tenth,https://api.github.com/repos/pmusau17/Platooning-F1Tenth,18,15,FALSE,909,0,0,6
414875535,tianmiantech/WeFe,https://api.github.com/repos/tianmiantech/WeFe,63,14,FALSE,839,4,6,6
142691808,921kiyo/3d-dl,https://api.github.com/repos/921kiyo/3d-dl,37,14,FALSE,833,2,1,6
7830673,clulab/timenorm,https://api.github.com/repos/clulab/timenorm,33,10,FALSE,515,7,17,6
175305311,INK-USC/AlpacaTag,https://api.github.com/repos/INK-USC/AlpacaTag,122,19,FALSE,376,14,3,6
275100993,PacktPublishing/Tensorflow-2-Reinforcement-Learning-Cookbook,https://api.github.com/repos/PacktPublishing/Tensorflow-2-Reinforcement-Learning-Cookbook,85,52,FALSE,329,1,17,6
159797814,MorvanZhou/NLP-Tutorials,https://api.github.com/repos/MorvanZhou/NLP-Tutorials,608,235,FALSE,321,3,11,6
257203487,gkaissis/PriMIA,https://api.github.com/repos/gkaissis/PriMIA,99,17,FALSE,299,0,21,6
143249816,alibaba/ai-matrix,https://api.github.com/repos/alibaba/ai-matrix,165,73,FALSE,299,10,4,6
248690852,DataCanvasIO/DeepTables,https://api.github.com/repos/DataCanvasIO/DeepTables,387,189,FALSE,291,20,27,6
194144428,IBM/depiction,https://api.github.com/repos/IBM/depiction,38,21,FALSE,285,5,24,6
605695,0xfe/experiments,https://api.github.com/repos/0xfe/experiments,125,60,FALSE,267,0,0,6
216106727,ARM-software/mango,https://api.github.com/repos/ARM-software/mango,116,25,FALSE,267,3,26,6
190687137,rasbt/python-machine-learning-book-3rd-edition,https://api.github.com/repos/rasbt/python-machine-learning-book-3rd-edition,2993,1312,FALSE,234,19,63,6
112314853,microsoft/deep_bait,https://api.github.com/repos/microsoft/deep_bait,24,16,FALSE,233,3,3,6
179134782,zesch/lang-tech-teaching-public,https://api.github.com/repos/zesch/lang-tech-teaching-public,14,54,FALSE,201,0,0,6
332884230,devfmx/master-data-ai,https://api.github.com/repos/devfmx/master-data-ai,14,24,FALSE,183,67,16,6
162141645,Merck/deepbgc,https://api.github.com/repos/Merck/deepbgc,54,20,FALSE,161,21,31,6
81460066,oarriaga/face_classification,https://api.github.com/repos/oarriaga/face_classification,5180,1563,FALSE,147,43,79,6
162616795,TsotsosLab/SMILER,https://api.github.com/repos/TsotsosLab/SMILER,35,15,FALSE,142,16,17,6
153859755,CyberZHG/keras-bert,https://api.github.com/repos/CyberZHG/keras-bert,2281,504,FALSE,142,0,201,6
268494868,cloudxlab/iitr-deep-learning-spl-tf2,https://api.github.com/repos/cloudxlab/iitr-deep-learning-spl-tf2,22,41,FALSE,140,0,0,6
302535554,tinyMLx/colabs,https://api.github.com/repos/tinyMLx/colabs,65,67,FALSE,139,0,1,6
248271633,neptune-ai/neptune-examples,https://api.github.com/repos/neptune-ai/neptune-examples,22,13,FALSE,139,0,5,6
259007295,Humboldt-WI/adams,https://api.github.com/repos/Humboldt-WI/adams,20,37,FALSE,105,0,0,6
19508919,ahastudio/CodingLife,https://api.github.com/repos/ahastudio/CodingLife,57,30,FALSE,1196,0,1,5
72968591,PPPLDeepLearning/plasma-python,https://api.github.com/repos/PPPLDeepLearning/plasma-python,71,38,FALSE,1115,20,10,5
317930627,aiqc/AIQC,https://api.github.com/repos/aiqc/AIQC,57,16,FALSE,1034,21,34,5
98348844,SummaLabs/DLS,https://api.github.com/repos/SummaLabs/DLS,30,19,FALSE,776,3,1,5
269934921,HealthML/self-supervised-3d-tasks,https://api.github.com/repos/HealthML/self-supervised-3d-tasks,121,26,FALSE,510,1,26,5
199943153,negrinho/deep_architect,https://api.github.com/repos/negrinho/deep_architect,116,13,FALSE,492,3,4,5
125326602,PacktPublishing/Advanced-Deep-Learning-with-Keras,https://api.github.com/repos/PacktPublishing/Advanced-Deep-Learning-with-Keras,1202,730,FALSE,451,2,17,5
52792286,zhentaoshi/Econ5121A,https://api.github.com/repos/zhentaoshi/Econ5121A,47,42,FALSE,448,0,1,5
93969677,hyperdashio/hyperdash-sdk-py,https://api.github.com/repos/hyperdashio/hyperdash-sdk-py,194,25,FALSE,430,29,23,5
223835896,NLP-kr/tensorflow-ml-nlp-tf2,https://api.github.com/repos/NLP-kr/tensorflow-ml-nlp-tf2,188,104,FALSE,412,2,26,5
71860524,teinhonglo/Information-retrieval,https://api.github.com/repos/teinhonglo/Information-retrieval,52,32,FALSE,412,1,4,5
254662819,digitalepidemiologylab/covid-twitter-bert,https://api.github.com/repos/digitalepidemiologylab/covid-twitter-bert,143,20,FALSE,397,5,12,5
176205748,PacktPublishing/AI-Crash-Course,https://api.github.com/repos/PacktPublishing/AI-Crash-Course,135,117,FALSE,391,0,0,5
141228949,tracholar/ml-homework-cz,https://api.github.com/repos/tracholar/ml-homework-cz,21,10,FALSE,388,0,1,5
91767564,philipperemy/deep-speaker,https://api.github.com/repos/philipperemy/deep-speaker,687,212,FALSE,363,0,77,5
185262586,re-search/DocProduct,https://api.github.com/repos/re-search/DocProduct,518,141,FALSE,333,21,11,5
232400282,alexacarlson/DeepDesign2019,https://api.github.com/repos/alexacarlson/DeepDesign2019,15,15,FALSE,313,1,0,5
267485383,kneron/ONNX_Convertor,https://api.github.com/repos/kneron/ONNX_Convertor,31,12,FALSE,311,0,4,5
129887529,hammerlab/cytokit,https://api.github.com/repos/hammerlab/cytokit,95,18,FALSE,301,11,22,5
161178225,omegaml/omegaml,https://api.github.com/repos/omegaml/omegaml,74,10,FALSE,283,35,37,5
115182783,shaoanlu/faceswap-GAN,https://api.github.com/repos/shaoanlu/faceswap-GAN,3111,814,FALSE,279,94,76,5
195387613,zurutech/ashpy,https://api.github.com/repos/zurutech/ashpy,86,11,FALSE,264,24,17,5
245462564,AIWintermuteAI/aXeleRate,https://api.github.com/repos/AIWintermuteAI/aXeleRate,140,56,FALSE,261,1,51,5
164688525,microsoft/GenStudio,https://api.github.com/repos/microsoft/GenStudio,177,34,FALSE,243,1,1,5
61832342,openeventdata/mordecai,https://api.github.com/repos/openeventdata/mordecai,636,84,FALSE,233,23,70,5
177435734,deepintomlf/mlfbook,https://api.github.com/repos/deepintomlf/mlfbook,26,12,FALSE,222,0,0,5
257932939,PacktPublishing/Learn-Amazon-SageMaker,https://api.github.com/repos/PacktPublishing/Learn-Amazon-SageMaker,90,76,FALSE,216,8,6,5
88643880,ImagingInformatics/machine-learning,https://api.github.com/repos/ImagingInformatics/machine-learning,63,32,FALSE,194,1,2,5
300070966,IVPLatNU/DeepCovidXR,https://api.github.com/repos/IVPLatNU/DeepCovidXR,13,10,FALSE,188,4,4,5
53871408,bio-ontology-research-group/phenomenet-vp,https://api.github.com/repos/bio-ontology-research-group/phenomenet-vp,26,12,FALSE,183,6,5,5
150864645,declare-lab/MELD,https://api.github.com/repos/declare-lab/MELD,478,142,FALSE,161,21,17,5
82329392,hep-lbdl/CaloGAN,https://api.github.com/repos/hep-lbdl/CaloGAN,96,59,FALSE,153,8,1,5
192155460,dragen1860/Deep-Learning-with-TensorFlow-book,https://api.github.com/repos/dragen1860/Deep-Learning-with-TensorFlow-book,12189,3959,FALSE,151,72,147,5
399383425,daydreaming666/Amenoma,https://api.github.com/repos/daydreaming666/Amenoma,196,22,FALSE,150,17,34,5
169527185,smellslikeml/ActionAI,https://api.github.com/repos/smellslikeml/ActionAI,508,153,FALSE,148,29,16,5
248081435,GoogleCloudPlatform/ml-design-patterns,https://api.github.com/repos/GoogleCloudPlatform/ml-design-patterns,1057,277,FALSE,147,21,7,5
133389964,geomstats/applications,https://api.github.com/repos/geomstats/applications,24,10,FALSE,143,1,5,5
206039306,JinmiaoChenLab/Batch-effect-removal-benchmarking,https://api.github.com/repos/JinmiaoChenLab/Batch-effect-removal-benchmarking,34,26,FALSE,137,11,3,5
327627955,SilvioGiancola/SoccerNetv2-DevKit,https://api.github.com/repos/SilvioGiancola/SoccerNetv2-DevKit,74,23,FALSE,128,3,51,5
238645652,PacktPublishing/Practical-Machine-Learning-with-TensorFlow-2.0-and-Scikit-Learn,https://api.github.com/repos/PacktPublishing/Practical-Machine-Learning-with-TensorFlow-2.0-and-Scikit-Learn,41,20,FALSE,120,1,0,5
21431857,openearth/notebooks,https://api.github.com/repos/openearth/notebooks,19,13,FALSE,117,0,0,5
104427181,tensorflow/lattice,https://api.github.com/repos/tensorflow/lattice,483,89,FALSE,110,7,51,5
196452519,octoenergy/timeserio,https://api.github.com/repos/octoenergy/timeserio,56,13,FALSE,105,1,1,5
