id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators
256170081,Samsung/ONE,https://api.github.com/repos/Samsung/ONE,229,95,6066,272,1232,51
65310972,VIAME/VIAME,https://api.github.com/repos/VIAME/VIAME,156,65,6055,24,20,27
74627617,commaai/openpilot,https://api.github.com/repos/commaai/openpilot,32391,6007,5910,98,1340,262
24897645,stack-of-tasks/pinocchio,https://api.github.com/repos/stack-of-tasks/pinocchio,676,205,5890,30,648,36
349817814,tlc-pack/tenset,https://api.github.com/repos/tlc-pack/tenset,37,13,5840,4,5,392
21950910,GoogleCloudPlatform/PerfKitBenchmarker,https://api.github.com/repos/GoogleCloudPlatform/PerfKitBenchmarker,1656,434,5678,211,370,113
254142161,Seagate/cortx,https://api.github.com/repos/Seagate/cortx,540,309,5562,12,276,207
186706933,Azure-Samples/azure-intelligent-edge-patterns,https://api.github.com/repos/Azure-Samples/azure-intelligent-edge-patterns,102,121,5364,29,18,47
23565243,numenta/htmresearch,https://api.github.com/repos/numenta/htmresearch,224,109,5346,29,86,27
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15968,1673,5127,508,2787,299
25311354,explosion/thinc,https://api.github.com/repos/explosion/thinc,2446,234,5020,14,97,42
84835419,analysiscenter/batchflow,https://api.github.com/repos/analysiscenter/batchflow,170,39,4992,34,67,17
91379993,tensorflow/tensorboard,https://api.github.com/repos/tensorflow/tensorboard,5762,1469,4951,506,1089,249
62117818,apache/carbondata,https://api.github.com/repos/apache/carbondata,1299,690,4945,12,5,177
81784084,chainer/chainercv,https://api.github.com/repos/chainer/chainercv,1469,318,4930,37,168,36
45596393,odlgroup/odl,https://api.github.com/repos/odlgroup/odl,230,94,4928,222,688,20
57997461,marian-nmt/marian-dev,https://api.github.com/repos/marian-nmt/marian-dev,158,102,4871,83,544,38
56228491,marian-nmt/marian,https://api.github.com/repos/marian-nmt/marian,861,196,4855,57,285,37
230524692,realnc/dosbox-core,https://api.github.com/repos/realnc/dosbox-core,22,13,4788,14,19,8
105057392,guildai/guildai,https://api.github.com/repos/guildai/guildai,657,59,4689,113,184,15
105913478,voxel51/eta,https://api.github.com/repos/voxel51/eta,18,12,4659,35,65,17
148221325,tensorflow/datasets,https://api.github.com/repos/tensorflow/datasets,3151,1201,4651,314,615,224
180872240,numenta/nupic.research,https://api.github.com/repos/numenta/nupic.research,72,38,4642,2,5,20
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17653,1590,4577,527,1722,123
104741169,microsoft/pai,https://api.github.com/repos/microsoft/pai,2250,493,4487,246,1794,82
86031674,wandb/client,https://api.github.com/repos/wandb/client,3695,291,4401,233,1303,88
94460704,tensorflow/tensor2tensor,https://api.github.com/repos/tensorflow/tensor2tensor,11986,3030,4362,562,669,214
290981320,microsoft/fastformers,https://api.github.com/repos/microsoft/fastformers,618,36,4322,1,15,394
169116405,tensorflow/tfx,https://api.github.com/repos/tensorflow/tfx,1695,542,4093,234,489,115
5502765,Sefaria/Sefaria-Data,https://api.github.com/repos/Sefaria/Sefaria-Data,64,55,4020,1,2,24
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2685,1154,3991,595,2146,295
61916488,HyperGAN/HyperGAN,https://api.github.com/repos/HyperGAN/HyperGAN,1157,169,3902,17,96,17
142219189,tensorflow/lingvo,https://api.github.com/repos/tensorflow/lingvo,2387,391,3895,89,130,56
344354127,coqui-ai/STT,https://api.github.com/repos/coqui-ai/STT,1040,92,3864,55,39,145
40307735,flatironinstitute/CaImAn,https://api.github.com/repos/flatironinstitute/CaImAn,441,294,3858,16,494,47
265612440,coqui-ai/TTS,https://api.github.com/repos/coqui-ai/TTS,3921,355,3775,29,197,67
75413130,isl-org/Open3D,https://api.github.com/repos/isl-org/Open3D,6118,1537,3729,327,2100,123
161556784,tensorflow/federated,https://api.github.com/repos/tensorflow/federated,1753,429,3727,58,220,89
50915867,thought-machine/please,https://api.github.com/repos/thought-machine/please,1902,161,3679,43,570,94
178290396,fastestimator/fastestimator,https://api.github.com/repos/fastestimator/fastestimator,40,25,3630,0,7,16
58378976,Tiramisu-Compiler/tiramisu,https://api.github.com/repos/Tiramisu-Compiler/tiramisu,778,105,3625,34,23,33
313282739,Ascend/samples,https://api.github.com/repos/Ascend/samples,25,14,3522,2,1,26
99561213,sonos/tract,https://api.github.com/repos/sonos/tract,1196,121,3519,13,78,29
60273704,mozilla/DeepSpeech,https://api.github.com/repos/mozilla/DeepSpeech,19004,3410,3466,106,1946,135
37615400,kristinbranson/APT,https://api.github.com/repos/kristinbranson/APT,57,10,3443,135,233,10
24528468,vaexio/vaex,https://api.github.com/repos/vaexio/vaex,6905,536,3424,289,641,56
90328920,intel-analytics/analytics-zoo,https://api.github.com/repos/intel-analytics/analytics-zoo,2469,713,3423,418,840,96
38152816,modernmt/modernmt,https://api.github.com/repos/modernmt/modernmt,259,55,3406,51,523,14
104623696,Ewenwan/MVision,https://api.github.com/repos/Ewenwan/MVision,6243,2475,3394,13,17,2
188732560,jim-schwoebel/allie,https://api.github.com/repos/jim-schwoebel/allie,90,22,3393,13,22,1
316526067,deepmipt/dream,https://api.github.com/repos/deepmipt/dream,59,33,3390,6,1,34
60626727,tensorlayer/TensorLayer,https://api.github.com/repos/tensorlayer/TensorLayer,6816,1524,3350,20,438,89
138826968,XiaoMi/mace,https://api.github.com/repos/XiaoMi/mace,4568,789,3328,43,612,48
253846879,determined-ai/determined,https://api.github.com/repos/determined-ai/determined,1629,201,3248,23,139,44
182054091,getkeops/keops,https://api.github.com/repos/getkeops/keops,618,43,3231,44,124,15
68254498,cleverhans-lab/cleverhans,https://api.github.com/repos/cleverhans-lab/cleverhans,5399,1350,3201,21,422,110
177415822,cisco/mindmeld,https://api.github.com/repos/cisco/mindmeld,547,148,3168,8,92,35
44731840,lablup/backend.ai-kernels,https://api.github.com/repos/lablup/backend.ai-kernels,25,12,3161,20,85,12
41169947,SimVascular/SimVascular,https://api.github.com/repos/SimVascular/SimVascular,148,97,3133,187,170,8
244029618,data-science-on-aws/oreilly_book,https://api.github.com/repos/data-science-on-aws/oreilly_book,2484,791,3130,74,138,11
55794437,JuliaRobotics/Caesar.jl,https://api.github.com/repos/JuliaRobotics/Caesar.jl,144,28,3077,50,92,17
10456942,MTG/essentia,https://api.github.com/repos/MTG/essentia,2036,443,3069,328,598,51
126311570,zfit/zfit,https://api.github.com/repos/zfit/zfit,120,34,3034,4,106,19
5111513,MarkAYoder/BeagleBoard-exercises,https://api.github.com/repos/MarkAYoder/BeagleBoard-exercises,61,51,3030,1,3,3
152634113,microsoft/CameraTraps,https://api.github.com/repos/microsoft/CameraTraps,400,152,3000,0,38,24
95395370,sony/nnabla,https://api.github.com/repos/sony/nnabla,2517,313,2971,18,45,51
172640711,lightvector/KataGo,https://api.github.com/repos/lightvector/KataGo,1516,328,2940,175,306,28
48593532,tensorpack/tensorpack,https://api.github.com/repos/tensorpack/tensorpack,6158,1828,2937,12,1332,53
180372498,plotly/dash-sample-apps,https://api.github.com/repos/plotly/dash-sample-apps,2190,2506,2921,29,162,45
